id,start_date_name,stop_date_name,kinmu_id,group_id,max_number_of_assignments
1,2018-05-01,2018-05-31,2,1,2
2,2018-05-01,2018-05-31,2,2,2
3,2018-05-01,2018-05-31,2,3,2
4,2018-05-01,2018-05-31,2,4,2
5,2018-05-01,2018-05-31,2,5,2
6,2018-05-01,2018-05-31,3,1,2
7,2018-05-01,2018-05-31,3,2,2
8,2018-05-01,2018-05-31,3,3,2
9,2018-05-01,2018-05-31,3,4,2
10,2018-05-01,2018-05-31,3,5,2
11,2018-05-01,2018-05-31,4,1,2
12,2018-05-01,2018-05-31,4,2,2
13,2018-05-01,2018-05-31,4,3,2
14,2018-05-01,2018-05-31,4,4,2
15,2018-05-01,2018-05-31,4,5,2
16,2018-05-01,2018-05-31,5,1,2
17,2018-05-01,2018-05-31,5,2,2
18,2018-05-01,2018-05-31,5,3,2
19,2018-05-01,2018-05-31,5,4,2
20,2018-05-01,2018-05-31,5,5,2
21,2018-05-01,2018-05-31,6,1,2
22,2018-05-01,2018-05-31,6,2,2
23,2018-05-01,2018-05-31,6,3,2
24,2018-05-01,2018-05-31,6,4,2
25,2018-05-01,2018-05-31,6,5,2
