id,member_id,kinmu_id,min_number_of_assignments
1,1,1,10
2,2,1,10
3,3,1,10
4,4,1,10
5,5,1,10
6,6,1,10
7,7,1,10
8,8,1,10
9,9,1,10
10,10,1,10
11,11,1,10
12,12,1,10
13,13,1,10
14,14,1,10
15,15,1,10
16,16,1,10
17,17,1,10
18,18,1,10
19,19,1,10
20,20,1,10
21,21,1,10
22,22,1,10
23,23,1,10
24,24,1,10
25,25,1,10
26,26,1,10
27,27,1,10
28,28,1,10
29,29,1,10
30,30,1,10
31,31,1,10
32,32,1,10
33,33,1,10
34,34,1,10
35,35,1,10
36,36,1,10
37,37,1,10
38,38,1,10
39,39,1,10
40,40,1,10
41,41,1,10
42,42,1,10
43,43,1,10
44,44,1,10
45,45,1,10
46,46,1,10
47,47,1,10
48,48,1,10
49,49,1,10
50,50,1,10
