id,is_enabled,start_date_name,stop_date_name,kinmu_id,group_id,min_number_of_assignments
1,1,2018-05-01,2018-05-31,2,1,1
2,1,2018-05-01,2018-05-31,2,2,1
3,1,2018-05-01,2018-05-31,2,3,1
4,1,2018-05-01,2018-05-31,2,4,1
5,1,2018-05-01,2018-05-31,2,5,1
6,1,2018-05-01,2018-05-31,3,1,1
7,1,2018-05-01,2018-05-31,3,2,1
8,1,2018-05-01,2018-05-31,3,3,1
9,1,2018-05-01,2018-05-31,3,4,1
10,1,2018-05-01,2018-05-31,3,5,1
11,1,2018-05-01,2018-05-31,4,1,1
12,1,2018-05-01,2018-05-31,4,2,1
13,1,2018-05-01,2018-05-31,4,3,1
14,1,2018-05-01,2018-05-31,4,4,1
15,1,2018-05-01,2018-05-31,4,5,1
16,1,2018-05-01,2018-05-31,5,1,1
17,1,2018-05-01,2018-05-31,5,2,1
18,1,2018-05-01,2018-05-31,5,3,1
19,1,2018-05-01,2018-05-31,5,4,1
20,1,2018-05-01,2018-05-31,5,5,1
21,1,2018-05-01,2018-05-31,6,1,1
22,1,2018-05-01,2018-05-31,6,2,1
23,1,2018-05-01,2018-05-31,6,3,1
24,1,2018-05-01,2018-05-31,6,4,1
25,1,2018-05-01,2018-05-31,6,5,1
