id,term_id,is_enabled,member_id,kinmu_id,min_number_of_assignments
1,1,1,1,1,10
2,1,1,2,1,10
3,1,1,3,1,10
4,1,1,4,1,10
5,1,1,5,1,10
6,1,1,6,1,10
7,1,1,7,1,10
8,1,1,8,1,10
9,1,1,9,1,10
10,1,1,10,1,10
11,1,1,11,1,10
12,1,1,12,1,10
13,1,1,13,1,10
14,1,1,14,1,10
15,1,1,15,1,10
16,1,1,16,1,10
17,1,1,17,1,10
18,1,1,18,1,10
19,1,1,19,1,10
20,1,1,20,1,10
21,1,1,21,1,10
22,1,1,22,1,10
23,1,1,23,1,10
24,1,1,24,1,10
25,1,1,25,1,10
26,1,1,26,1,10
27,1,1,27,1,10
28,1,1,28,1,10
29,1,1,29,1,10
30,1,1,30,1,10
31,1,1,31,1,10
32,1,1,32,1,10
33,1,1,33,1,10
34,1,1,34,1,10
35,1,1,35,1,10
36,1,1,36,1,10
37,1,1,37,1,10
38,1,1,38,1,10
39,1,1,39,1,10
40,1,1,40,1,10
41,1,1,41,1,10
42,1,1,42,1,10
43,1,1,43,1,10
44,1,1,44,1,10
45,1,1,45,1,10
46,1,1,46,1,10
47,1,1,47,1,10
48,1,1,48,1,10
49,1,1,49,1,10
50,1,1,50,1,10
